Name	Result	Orig Len	Opt Len	Reduction
svgs/W3C_SVG_11_TestSuite/svg/filters-turb-02-f.svg	pass	7575	4049	3526
svgs/W3C_SVG_11_TestSuite/svg/fonts-desc-01-t.svg	pass	5673	1143	4530
svgs/W3C_SVG_11_TestSuite/svg/fonts-desc-02-t.svg	pass	7873	1589	6284
svgs/W3C_SVG_11_TestSuite/svg/fonts-desc-03-t.svg	pass	6131	1154	4977
svgs/W3C_SVG_11_TestSuite/svg/fonts-desc-04-t.svg	pass	7704	1462	6242
svgs/W3C_SVG_11_TestSuite/svg/fonts-desc-05-t.svg	pass	7907	1930	5977
svgs/W3C_SVG_11_TestSuite/svg/fonts-elem-01-t.svg	pass	11660	5011	6649
svgs/W3C_SVG_11_TestSuite/svg/fonts-elem-02-t.svg	pass	13985	8067	5918
svgs/W3C_SVG_11_TestSuite/svg/fonts-elem-03-b.svg	pass	8679	5021	3658
svgs/W3C_SVG_11_TestSuite/svg/fonts-elem-04-b.svg	pass	8624	5334	3290
svgs/W3C_SVG_11_TestSuite/svg/fonts-elem-05-t.svg	pass	6873	2001	4872
svgs/W3C_SVG_11_TestSuite/svg/fonts-elem-06-t.svg	pass	5987	1598	4389
svgs/W3C_SVG_11_TestSuite/svg/fonts-elem-07-b.svg	pass	12091	7549	4542
svgs/W3C_SVG_11_TestSuite/svg/fonts-glyph-02-t.svg	pass	7417	928	6489
svgs/W3C_SVG_11_TestSuite/svg/fonts-glyph-03-t.svg	pass	4332	1133	3199
svgs/W3C_SVG_11_TestSuite/svg/fonts-glyph-04-t.svg	pass	3808	874	2934
svgs/W3C_SVG_11_TestSuite/svg/fonts-kern-01-t.svg	mismatch	14696	4524	10172
svgs/W3C_SVG_11_TestSuite/svg/fonts-overview-201-t.svg	pass	7027	1282	5745
svgs/W3C_SVG_11_TestSuite/svg/imp-path-01-f.svg	pass	2870	1174	1696
svgs/W3C_SVG_11_TestSuite/svg/interact-cursor-01-f.svg	pass	8733	3474	5259
svgs/W3C_SVG_11_TestSuite/svg/interact-dom-01-b.svg	pass	5967	2842	3125
svgs/W3C_SVG_11_TestSuite/svg/interact-events-01-b.svg	pass	6264	1911	4353
svgs/W3C_SVG_11_TestSuite/svg/interact-events-02-b.svg	pass	3816	1669	2147
svgs/W3C_SVG_11_TestSuite/svg/interact-events-202-f.svg	pass	4040	1637	2403
svgs/W3C_SVG_11_TestSuite/svg/interact-events-203-t.svg	pass	6589	2842	3747
svgs/W3C_SVG_11_TestSuite/svg/interact-order-01-b.svg	pass	4974	1724	3250
svgs/W3C_SVG_11_TestSuite/svg/interact-order-02-b.svg	pass	4738	1720	3018
svgs/W3C_SVG_11_TestSuite/svg/interact-order-03-b.svg	pass	4562	1716	2846
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-01-b.svg	mismatch	12139	8527	3612
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-03-b.svg	pass	12221	2004	10217
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-04-t.svg	pass	12416	2075	10341
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-05-b.svg	pass	9190	1436	7754
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-07-t.svg	pass	7310	4684	2626
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-08-f.svg	pass	14175	8951	5224
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-09-f.svg	pass	13782	8858	4924
svgs/W3C_SVG_11_TestSuite/svg/interact-pevents-10-f.svg	pass	3891	1387	2504
svgs/W3C_SVG_11_TestSuite/svg/interact-pointer-01-t.svg	pass	3991	1848	2143
svgs/W3C_SVG_11_TestSuite/svg/interact-pointer-02-t.svg	pass	3957	1842	2115
svgs/W3C_SVG_11_TestSuite/svg/interact-pointer-03-t.svg	pass	3868	1647	2221
svgs/W3C_SVG_11_TestSuite/svg/interact-pointer-04-f.svg	pass	4104	2019	2085
svgs/W3C_SVG_11_TestSuite/svg/interact-zoom-01-t.svg	pass	3656	1095	2561
svgs/W3C_SVG_11_TestSuite/svg/interact-zoom-02-t.svg	pass	3660	1107	2553
svgs/W3C_SVG_11_TestSuite/svg/interact-zoom-03-t.svg	pass	3719	1191	2528
svgs/W3C_SVG_11_TestSuite/svg/linking-a-01-b.svg	pass	4209	962	3247
svgs/W3C_SVG_11_TestSuite/svg/linking-a-03-b.svg	pass	4316	984	3332
svgs/W3C_SVG_11_TestSuite/svg/linking-a-04-t.svg	pass	6414	1448	4966
svgs/W3C_SVG_11_TestSuite/svg/linking-a-05-t.svg	pass	5740	1973	3767
svgs/W3C_SVG_11_TestSuite/svg/linking-a-07-t.svg	pass	5860	1910	3950
svgs/W3C_SVG_11_TestSuite/svg/linking-a-08-t.svg	pass	3214	1042	2172
svgs/W3C_SVG_11_TestSuite/svg/linking-a-09-b.svg	mismatch	3418	1194	2224
svgs/W3C_SVG_11_TestSuite/svg/linking-a-10-f.svg	pass	4392	1878	2514
svgs/W3C_SVG_11_TestSuite/svg/linking-frag-01-f.svg	pass	3761	1581	2180
svgs/W3C_SVG_11_TestSuite/svg/linking-uri-01-b.svg	pass	8847	2805	6042
svgs/W3C_SVG_11_TestSuite/svg/linking-uri-02-b.svg	pass	9537	2892	6645
svgs/W3C_SVG_11_TestSuite/svg/linking-uri-03-t.svg	pass	5464	1988	3476
svgs/W3C_SVG_11_TestSuite/svg/masking-filter-01-f.svg	pass	4003	1326	2677
svgs/W3C_SVG_11_TestSuite/svg/masking-intro-01-f.svg	pass	4354	1713	2641
svgs/W3C_SVG_11_TestSuite/svg/masking-mask-01-b.svg	pass	7247	2773	4474
svgs/W3C_SVG_11_TestSuite/svg/masking-mask-02-f.svg	pass	2805	887	1918
svgs/W3C_SVG_11_TestSuite/svg/masking-opacity-01-b.svg	pass	5995	2147	3848
svgs/W3C_SVG_11_TestSuite/svg/masking-path-01-b.svg	pass	5047	1550	3497
svgs/W3C_SVG_11_TestSuite/svg/masking-path-02-b.svg	pass	4541	1493	3048
svgs/W3C_SVG_11_TestSuite/svg/masking-path-03-b.svg	pass	6772	2188	4584
svgs/W3C_SVG_11_TestSuite/svg/masking-path-04-b.svg	pass	3995	1339	2656
svgs/W3C_SVG_11_TestSuite/svg/masking-path-05-f.svg	pass	4088	1313	2775
svgs/W3C_SVG_11_TestSuite/svg/masking-path-06-b.svg	pass	3862	1822	2040
svgs/W3C_SVG_11_TestSuite/svg/masking-path-07-b.svg	pass	6905	2230	4675
svgs/W3C_SVG_11_TestSuite/svg/masking-path-08-b.svg	pass	5760	2765	2995
svgs/W3C_SVG_11_TestSuite/svg/masking-path-09-b.svg	pass	3211	1327	1884
svgs/W3C_SVG_11_TestSuite/svg/masking-path-10-b.svg	pass	5544	2602	2942
svgs/W3C_SVG_11_TestSuite/svg/masking-path-11-b.svg	pass	3116	1084	2032
svgs/W3C_SVG_11_TestSuite/svg/masking-path-12-f.svg	pass	3855	1914	1941
svgs/W3C_SVG_11_TestSuite/svg/masking-path-13-f.svg	pass	2801	761	2040
svgs/W3C_SVG_11_TestSuite/svg/masking-path-14-f.svg	pass	4238	1171	3067
svgs/W3C_SVG_11_TestSuite/svg/metadata-example-01-t.svg	pass	21675	18152	3523
svgs/W3C_SVG_11_TestSuite/svg/painting-control-01-f.svg	pass	5238	2189	3049
svgs/W3C_SVG_11_TestSuite/svg/painting-control-02-f.svg	pass	3497	1128	2369
svgs/W3C_SVG_11_TestSuite/svg/painting-control-03-f.svg	pass	3400	994	2406
svgs/W3C_SVG_11_TestSuite/svg/painting-control-04-f.svg	pass	2939	930	2009
svgs/W3C_SVG_11_TestSuite/svg/painting-control-05-f.svg	pass	5839	1719	4120
svgs/W3C_SVG_11_TestSuite/svg/painting-control-06-f.svg	pass	3408	915	2493
svgs/W3C_SVG_11_TestSuite/svg/painting-fill-01-t.svg	pass	3551	1103	2448
svgs/W3C_SVG_11_TestSuite/svg/painting-fill-02-t.svg	pass	3711	1265	2446
svgs/W3C_SVG_11_TestSuite/svg/painting-fill-03-t.svg	pass	3488	1139	2349
svgs/W3C_SVG_11_TestSuite/svg/painting-fill-04-t.svg	pass	4352	1051	3301
svgs/W3C_SVG_11_TestSuite/svg/painting-fill-05-b.svg	pass	4502	1475	3027
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-01-f.svg	pass	10160	2842	7318
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-02-f.svg	pass	13254	4086	9168
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-03-f.svg	pass	5040	2011	3029
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-04-f.svg	pass	4984	1962	3022
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-05-f.svg	pass	12550	8296	4254
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-06-f.svg	pass	9894	2807	7087
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-07-f.svg	pass	3322	1080	2242
svgs/W3C_SVG_11_TestSuite/svg/painting-marker-properties-01-f.svg	pass	4618	2014	2604
svgs/W3C_SVG_11_TestSuite/svg/painting-render-01-b.svg	pass	8956	4000	4956
svgs/W3C_SVG_11_TestSuite/svg/painting-render-02-b.svg	pass	4742	1714	3028
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-01-t.svg	pass	3899	1115	2784
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-02-t.svg	pass	3727	1182	2545
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-03-t.svg	pass	3758	1214	2544
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-04-t.svg	pass	3827	1280	2547
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-05-t.svg	pass	5369	2366	3003
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-06-t.svg	pass	4032	1324	2708
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-07-t.svg	pass	3855	1240	2615
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-08-t.svg	pass	4737	2153	2584
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-09-t.svg	pass	3245	872	2373
svgs/W3C_SVG_11_TestSuite/svg/painting-stroke-10-t.svg	pass	3559	1270	2289
svgs/W3C_SVG_11_TestSuite/svg/paths-data-01-t.svg	pass	11078	2589	8489
svgs/W3C_SVG_11_TestSuite/svg/paths-data-02-t.svg	pass	8577	2525	6052
svgs/W3C_SVG_11_TestSuite/svg/paths-data-03-f.svg	pass	8433	2300	6133
svgs/W3C_SVG_11_TestSuite/svg/paths-data-04-t.svg	pass	5482	1742	3740
svgs/W3C_SVG_11_TestSuite/svg/paths-data-05-t.svg	pass	5328	1665	3663
svgs/W3C_SVG_11_TestSuite/svg/paths-data-06-t.svg	pass	5520	1651	3869
svgs/W3C_SVG_11_TestSuite/svg/paths-data-07-t.svg	pass	5448	1655	3793
svgs/W3C_SVG_11_TestSuite/svg/paths-data-08-t.svg	pass	5355	1614	3741
svgs/W3C_SVG_11_TestSuite/svg/paths-data-09-t.svg	pass	5268	1485	3783
svgs/W3C_SVG_11_TestSuite/svg/paths-data-10-t.svg	pass	5896	2996	2900
svgs/W3C_SVG_11_TestSuite/svg/paths-data-12-t.svg	pass	3945	1134	2811
svgs/W3C_SVG_11_TestSuite/svg/paths-data-13-t.svg	pass	3149	852	2297
svgs/W3C_SVG_11_TestSuite/svg/paths-data-14-t.svg	pass	3628	993	2635
svgs/W3C_SVG_11_TestSuite/svg/paths-data-15-t.svg	pass	3555	999	2556
svgs/W3C_SVG_11_TestSuite/svg/paths-data-16-t.svg	pass	3273	1083	2190
svgs/W3C_SVG_11_TestSuite/svg/paths-data-17-f.svg	pass	3309	1019	2290
svgs/W3C_SVG_11_TestSuite/svg/paths-data-18-f.svg	pass	4726	2166	2560
svgs/W3C_SVG_11_TestSuite/svg/paths-data-19-f.svg	pass	5939	2358	3581
svgs/W3C_SVG_11_TestSuite/svg/paths-data-20-f.svg	pass	4243	1642	2601
svgs/W3C_SVG_11_TestSuite/svg/paths-dom-01-f.svg	pass	6828	4212	2616
svgs/W3C_SVG_11_TestSuite/svg/paths-dom-02-f.svg	pass	9645	7205	2440
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-01-b.svg	pass	3902	1256	2646
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-02-b.svg	pass	4696	1325	3371
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-03-b.svg	pass	4428	1345	3083
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-04-b.svg	pass	5034	1659	3375
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-05-b.svg	pass	5501	1766	3735
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-06-b.svg	pass	6668	1868	4800
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-07-b.svg	pass	5130	1258	3872
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-08-b.svg	pass	5472	1612	3860
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-09-b.svg	pass	6779	1477	5302
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-10-b.svg	pass	5644	1763	3881
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-11-b.svg	pass	7514	2276	5238
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-12-b.svg	pass	6758	2047	4711
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-13-b.svg	pass	9242	5843	3399
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-14-b.svg	pass	6443	3230	3213
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-15-b.svg	pass	3773	1129	2644
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-16-b.svg	pass	4408	1371	3037
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-17-b.svg	pass	5433	1962	3471
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-20-b.svg	pass	4961	1960	3001
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-21-b.svg	pass	6614	3270	3344
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-22-b.svg	pass	4269	1997	2272
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-23-f.svg	pass	3835	1266	2569
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-24-f.svg	pass	3598	1163	2435
svgs/W3C_SVG_11_TestSuite/svg/pservers-grad-stops-01-f.svg	pass	3846	1613	2233
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-01-b.svg	pass	6524	2366	4158
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-02-f.svg	pass	2939	964	1975
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-03-f.svg	pass	4585	1872	2713
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-04-f.svg	pass	3652	1141	2511
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-05-f.svg	pass	3492	1322	2170
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-06-f.svg	pass	3273	1068	2205
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-07-f.svg	pass	3419	1442	1977
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-08-f.svg	pass	3413	1381	2032
svgs/W3C_SVG_11_TestSuite/svg/pservers-pattern-09-f.svg	pass	3684	1420	2264
svgs/W3C_SVG_11_TestSuite/svg/render-elems-01-t.svg	pass	3337	978	2359
svgs/W3C_SVG_11_TestSuite/svg/render-elems-02-t.svg	pass	3403	1054	2349
svgs/W3C_SVG_11_TestSuite/svg/render-elems-03-t.svg	pass	3513	1062	2451
svgs/W3C_SVG_11_TestSuite/svg/render-elems-06-t.svg	pass	3658	1222	2436
svgs/W3C_SVG_11_TestSuite/svg/render-elems-07-t.svg	pass	3619	1239	2380
svgs/W3C_SVG_11_TestSuite/svg/render-elems-08-t.svg	pass	3684	1299	2385
svgs/W3C_SVG_11_TestSuite/svg/render-groups-01-b.svg	pass	6746	1585	5161
svgs/W3C_SVG_11_TestSuite/svg/render-groups-03-t.svg	pass	6038	1551	4487
svgs/W3C_SVG_11_TestSuite/svg/script-handle-01-b.svg	pass	4514	1629	2885
svgs/W3C_SVG_11_TestSuite/svg/script-handle-02-b.svg	pass	5731	2523	3208
svgs/W3C_SVG_11_TestSuite/svg/script-handle-03-b.svg	pass	5504	2279	3225
svgs/W3C_SVG_11_TestSuite/svg/script-handle-04-b.svg	pass	5585	2299	3286
svgs/W3C_SVG_11_TestSuite/svg/script-specify-01-f.svg	pass	3581	1550	2031
svgs/W3C_SVG_11_TestSuite/svg/script-specify-02-f.svg	pass	3614	1377	2237
svgs/W3C_SVG_11_TestSuite/svg/shapes-circle-01-t.svg	pass	3192	1173	2019
svgs/W3C_SVG_11_TestSuite/svg/shapes-circle-02-t.svg	pass	3235	895	2340
svgs/W3C_SVG_11_TestSuite/svg/shapes-ellipse-01-t.svg	pass	4439	1268	3171
svgs/W3C_SVG_11_TestSuite/svg/shapes-ellipse-02-t.svg	pass	3197	868	2329
svgs/W3C_SVG_11_TestSuite/svg/shapes-ellipse-03-f.svg	pass	3815	1002	2813
svgs/W3C_SVG_11_TestSuite/svg/shapes-grammar-01-f.svg	pass	3330	1078	2252
svgs/W3C_SVG_11_TestSuite/svg/shapes-intro-01-t.svg	pass	6517	1435	5082
svgs/W3C_SVG_11_TestSuite/svg/shapes-intro-02-f.svg	pass	4849	2167	2682
svgs/W3C_SVG_11_TestSuite/svg/shapes-line-01-t.svg	pass	4390	1488	2902
svgs/W3C_SVG_11_TestSuite/svg/shapes-line-02-f.svg	pass	2758	853	1905
svgs/W3C_SVG_11_TestSuite/svg/shapes-polygon-01-t.svg	pass	4842	1329	3513
svgs/W3C_SVG_11_TestSuite/svg/shapes-polygon-02-t.svg	pass	4184	1550	2634
svgs/W3C_SVG_11_TestSuite/svg/shapes-polygon-03-t.svg	pass	3159	1088	2071
svgs/W3C_SVG_11_TestSuite/svg/shapes-polyline-01-t.svg	pass	5435	1312	4123
svgs/W3C_SVG_11_TestSuite/svg/shapes-polyline-02-t.svg	pass	4328	1468	2860
svgs/W3C_SVG_11_TestSuite/svg/shapes-rect-01-t.svg	pass	4641	1338	3303
svgs/W3C_SVG_11_TestSuite/svg/shapes-rect-02-t.svg	pass	3380	941	2439
svgs/W3C_SVG_11_TestSuite/svg/shapes-rect-03-t.svg	pass	6546	3719	2827
svgs/W3C_SVG_11_TestSuite/svg/shapes-rect-04-f.svg	pass	3396	1041	2355
svgs/W3C_SVG_11_TestSuite/svg/shapes-rect-05-f.svg	pass	4015	1173	2842
svgs/W3C_SVG_11_TestSuite/svg/shapes-rect-06-f.svg	pass	3562	1308	2254
svgs/W3C_SVG_11_TestSuite/svg/shapes-rect-07-f.svg	pass	2921	1012	1909
svgs/W3C_SVG_11_TestSuite/svg/struct-cond-01-t.svg	pass	3230	967	2263
svgs/W3C_SVG_11_TestSuite/svg/struct-cond-02-t.svg	pass	24993	14477	10516
svgs/W3C_SVG_11_TestSuite/svg/struct-cond-03-t.svg	mismatch	4189	1355	2834
svgs/W3C_SVG_11_TestSuite/svg/struct-cond-overview-02-f.svg	pass	4062	1595	2467
svgs/W3C_SVG_11_TestSuite/svg/struct-cond-overview-03-f.svg	pass	3347	1239	2108
svgs/W3C_SVG_11_TestSuite/svg/struct-cond-overview-04-f.svg	pass	3443	1218	2225
svgs/W3C_SVG_11_TestSuite/svg/struct-cond-overview-05-f.svg	pass	3821	1499	2322
svgs/W3C_SVG_11_TestSuite/svg/struct-defs-01-t.svg	pass	3513	807	2706
svgs/W3C_SVG_11_TestSuite/svg/struct-dom-01-b.svg	pass	8647	3587	5060
svgs/W3C_SVG_11_TestSuite/svg/struct-dom-02-b.svg	pass	5409	2783	2626
svgs/W3C_SVG_11_TestSuite/svg/struct-dom-03-b.svg	pass	5426	2806	2620
svgs/W3C_SVG_11_TestSuite/svg/struct-dom-04-b.svg	pass	6246	3612	2634
svgs/W3C_SVG_11_TestSuite/svg/struct-dom-05-b.svg	pass	6229	3595	2634
